lr-Adam/pg1,lr-Adam/pg2,step,train/batch_size,train/cls_loss,train/cls_acc,train/cls_precision,train/cls_recall,train/cls_f1,train/mat_loss,train/n_critical_max,train/rig_loss,train/loss,epoch,val/cls_loss,val/cls_acc,val/cls_precision,val/cls_recall,val/cls_f1,val/mat_loss,val/n_critical_max,val/rig_loss,val/loss,val/mat_precision,val/mat_recall,val/mat_f1
1e-06,9.999999999999999e-06,0,,,,,,,,,,,,,,,,,,,,,,,
,,9,3.0,0.09340992569923401,0.972599983215332,0.7206624746322632,0.6112698316574097,0.6464688777923584,5.303694248199463,272.0,6.038867950439453,11.435972213745117,0,,,,,,,,,,,,
,,19,3.0,0.03523546829819679,0.9886000156402588,0.8177667260169983,0.7835551500320435,0.799648642539978,4.144023418426514,123.0,3.344811201095581,7.524069786071777,0,,,,,,,,,,,,
,,29,3.0,0.12516039609909058,0.9489333629608154,0.6524616479873657,0.724032998085022,0.6802783012390137,4.236464977264404,209.0,42.417850494384766,46.779476165771484,0,,,,,,,,,,,,
,,39,3.0,0.04358450695872307,0.9822666645050049,0.7140523791313171,0.8019447326660156,0.7500976324081421,3.9803073406219482,110.0,3.980588912963867,8.004480361938477,0,,,,,,,,,,,,
,,49,3.0,0.08666574954986572,0.9702666401863098,0.6650425791740417,0.6133139729499817,0.6338883638381958,4.818621635437012,209.0,10.0236234664917,14.928911209106445,0,,,,,,,,,,,,
,,59,3.0,0.07766421139240265,0.9673333168029785,0.7858387231826782,0.904674768447876,0.8335269689559937,3.7828071117401123,292.0,4.559686660766602,8.420158386230469,0,,,,,,,,,,,,
,,69,3.0,0.03536667302250862,0.9863333106040955,0.7545865774154663,0.8773880004882812,0.8034897446632385,2.9282703399658203,199.0,18.33070182800293,21.29433822631836,0,,,,,,,,,,,,
,,79,3.0,0.02092312090098858,0.9929333329200745,0.7790250778198242,0.8324927091598511,0.8033642172813416,3.2721047401428223,69.0,1.1463884115219116,4.439416408538818,0,,,,,,,,,,,,
,,89,3.0,0.058410562574863434,0.9750000238418579,0.7453370094299316,0.790247917175293,0.7657486796379089,5.58991003036499,265.0,52.519691467285156,58.16801071166992,0,,,,,,,,,,,,
,,99,3.0,0.044376783072948456,0.9796666502952576,0.7539727091789246,0.9062792062759399,0.8112579584121704,3.867495536804199,205.0,24.491920471191406,28.403793334960938,0,,,,,,,,,,,,
,,109,3.0,0.03661174699664116,0.9832000136375427,0.8254858255386353,0.8271957039833069,0.8263383507728577,4.366845607757568,259.0,27.59477996826172,31.99823760986328,0,,,,,,,,,,,,
,,119,3.0,0.09125703573226929,0.9619333148002625,0.8104944825172424,0.7570175528526306,0.7808722257614136,5.490886688232422,332.0,14.37783145904541,19.959976196289062,0,,,,,,,,,,,,
,,129,3.0,0.1416294425725937,0.9531999826431274,0.6679111123085022,0.6649778485298157,0.6664294600486755,5.045154094696045,353.0,11.752899169921875,16.939682006835938,0,,,,,,,,,,,,
,,139,3.0,0.04412810131907463,0.9814000129699707,0.782162606716156,0.7745411396026611,0.7782963514328003,4.619317054748535,164.0,12.858942031860352,17.52238655090332,0,,,,,,,,,,,,
,,149,3.0,0.06399282068014145,0.9753999710083008,0.7301729321479797,0.7218447327613831,0.7259260416030884,4.370205402374268,182.0,8.170581817626953,12.604780197143555,0,,,,,,,,,,,,
,,159,3.0,0.07076304405927658,0.9700000286102295,0.8173894286155701,0.8049243092536926,0.8110166788101196,5.037286281585693,277.0,23.467592239379883,28.575641632080078,0,,,,,,,,,,,,
,,169,3.0,0.056084513664245605,0.9764000177383423,0.7045939564704895,0.8593968152999878,0.759199857711792,4.820339679718018,205.0,4.668610572814941,9.545034408569336,0,,,,,,,,,,,,
,,179,3.0,0.04280561953783035,0.9885333180427551,0.6726993918418884,0.6289175152778625,0.647516131401062,3.9115610122680664,76.0,2.9640486240386963,6.918415069580078,0,,,,,,,,,,,,
,,189,3.0,0.05028330534696579,0.9804666638374329,0.6811163425445557,0.8557373881340027,0.7384544610977173,3.5664403438568115,100.0,12.216226577758789,15.832950592041016,0,,,,,,,,,,,,
,,199,3.0,0.027569349855184555,0.9908666610717773,0.6769900321960449,0.7547124624252319,0.7086689472198486,4.040282726287842,40.0,0.2552017867565155,4.32305383682251,0,,,,,,,,,,,,
,,209,3.0,0.08311929553747177,0.9687333106994629,0.8182746767997742,0.7993565797805786,0.8084888458251953,4.453624725341797,376.0,23.6962833404541,28.233028411865234,0,,,,,,,,,,,,
,,219,3.0,0.03916420415043831,0.9851999878883362,0.8083186149597168,0.7654595375061035,0.7852073907852173,4.598714351654053,163.0,1.2732234001159668,5.911101818084717,0,,,,,,,,,,,,
,,229,3.0,0.07430677860975266,0.9743333458900452,0.6639196276664734,0.7802398204803467,0.7056940793991089,4.614171981811523,110.0,12.428915977478027,17.117395401000977,0,,,,,,,,,,,,
,,239,3.0,0.04389582946896553,0.9840666651725769,0.8129187822341919,0.7246541976928711,0.7611738443374634,4.820486068725586,218.0,5.806396961212158,10.670778274536133,0,,,,,,,,,,,,
,,249,3.0,0.05449042469263077,0.9745333194732666,0.7120205163955688,0.7687164545059204,0.7367509603500366,3.7494544982910156,173.0,34.28202438354492,38.085968017578125,0,,,,,,,,,,,,
,,259,3.0,0.07909035682678223,0.9735333323478699,0.7381150722503662,0.7256172895431519,0.7316832542419434,4.529898166656494,228.0,21.358081817626953,25.967071533203125,0,,,,,,,,,,,,
,,269,3.0,0.04057804495096207,0.9847999811172485,0.679999828338623,0.7919434905052185,0.7221081256866455,3.5401320457458496,112.0,5.144330024719238,8.725040435791016,0,,,,,,,,,,,,
,,279,3.0,0.11334282159805298,0.9602000117301941,0.7999438047409058,0.6993401646614075,0.7381657958030701,5.594345569610596,333.0,18.136070251464844,23.84375762939453,0,,,,,,,,,,,,
,,289,3.0,0.05688067898154259,0.9756666421890259,0.6960689425468445,0.8709472417831421,0.754570484161377,3.9902493953704834,164.0,9.884991645812988,13.932121276855469,0,,,,,,,,,,,,
,,299,3.0,0.03833635151386261,0.9872666597366333,0.6395748853683472,0.7213311195373535,0.670846700668335,4.737032890319824,59.0,0.9583702683448792,5.733739376068115,0,,,,,,,,,,,,
,,309,3.0,0.03740883246064186,0.9855333566665649,0.7923268675804138,0.7276023626327515,0.7557516098022461,3.7251172065734863,180.0,5.393772602081299,9.156298637390137,0,,,,,,,,,,,,
,,319,3.0,0.021195143461227417,0.9920666813850403,0.7948567867279053,0.902661919593811,0.840166449546814,4.2181172370910645,131.0,2.0147743225097656,6.254086494445801,0,,,,,,,,,,,,
,,329,3.0,0.053480640053749084,0.9825999736785889,0.8625410795211792,0.8574808835983276,0.8599916696548462,5.300549030303955,264.0,6.188444137573242,11.542473793029785,0,,,,,,,,,,,,
,,339,3.0,0.10514000803232193,0.9651333093643188,0.7385462522506714,0.6732392311096191,0.7001352906227112,4.901501178741455,337.0,22.333053588867188,27.33969497680664,0,,,,,,,,,,,,
,,349,3.0,0.04584623873233795,0.9821333289146423,0.8455239534378052,0.8642743825912476,0.8546306490898132,4.3971734046936035,246.0,15.022464752197266,19.465484619140625,0,,,,,,,,,,,,
,,359,3.0,0.048465121537446976,0.9854000210762024,0.808423638343811,0.8336432576179504,0.8205101490020752,4.249473571777344,162.0,21.999971389770508,26.297910690307617,0,,,,,,,,,,,,
,,369,3.0,0.03621654957532883,0.9845333099365234,0.7173284292221069,0.8903099894523621,0.7780184149742126,4.101290225982666,99.0,2.7662878036499023,6.903794765472412,0,,,,,,,,,,,,
,,379,3.0,0.0696706473827362,0.9753333330154419,0.6889283657073975,0.8414130806922913,0.7416350841522217,4.422913551330566,106.0,9.644951820373535,14.13753604888916,0,,,,,,,,,,,,
,,389,3.0,0.045079488307237625,0.9851999878883362,0.6417803168296814,0.6179428100585938,0.6287127137184143,4.673712730407715,65.0,0.2554872930049896,4.974279880523682,0,,,,,,,,,,,,
,,399,3.0,0.04469909518957138,0.981333315372467,0.7599747180938721,0.8818269371986389,0.8085470199584961,3.3233225345611572,149.0,9.54780101776123,12.915822982788086,0,,,,,,,,,,,,
,,409,3.0,0.06584672629833221,0.9746666550636292,0.7997246980667114,0.9211519360542297,0.8489992022514343,3.9215686321258545,297.0,32.27642059326172,36.26383590698242,0,,,,,,,,,,,,
,,419,3.0,0.07848860323429108,0.9688666462898254,0.7865502834320068,0.7850961089134216,0.7858211398124695,4.270878314971924,253.0,12.22240161895752,16.57176971435547,0,,,,,,,,,,,,
,,429,3.0,0.036666322499513626,0.9849333167076111,0.8011711835861206,0.9321242570877075,0.8541709184646606,3.7351908683776855,166.0,3.2635498046875,7.035407066345215,0,,,,,,,,,,,,
,,439,3.0,0.06335579603910446,0.9771999716758728,0.8268475532531738,0.8640386462211609,0.8443371057510376,5.335204601287842,414.0,53.82217025756836,59.22072982788086,0,,,,,,,,,,,,
,,449,3.0,0.05128847807645798,0.98580002784729,0.732499361038208,0.7959786653518677,0.76025390625,4.152066230773926,102.0,2.069636106491089,6.272991180419922,0,,,,,,,,,,,,
,,459,3.0,0.06694508343935013,0.972000002861023,0.7813594937324524,0.8809531927108765,0.8227962851524353,4.3403801918029785,251.0,10.038006782531738,14.445331573486328,0,,,,,,,,,,,,
,,469,3.0,0.04996860772371292,0.9810666441917419,0.6997690200805664,0.6868178248405457,0.6930636763572693,4.317071437835693,138.0,2.6411852836608887,7.008225440979004,0,,,,,,,,,,,,
